FY 2015 IPPS Final Rule: Hospital Readmissions Reduction Program-Supplemental Data-                                                  Reflects Corrections from October 2014 Correction Notice,,,,,,,,,,,,,,,
PROV, Corrected FY 2015  Readmissions Adjustment Factor,Number of Pneumonia Cases,Excess Readmission Ratio for Pneumonia,Number of Heart Failure Cases,Excess Readmission Ratio for Heart Failure,Number of Acute Myocardial Infarction Cases,Acute Myocardial Infarction Excess Readmission Ratio,Number of Hip/Knee Arthroplasty Cases,Hip/Knee Arthroplasty Excess Readmission Ratio,Number of Chronic Obstructive Pulmonary Disease Cases,Chronic Obstructive Pulmonary Disease Excess Readmission Ratio,,,,
010104,0.9950,318,0.860747943,364,0.883700198,341,0.966272656,451,1.117463614,245,1.019775109,,,,
010108,0.9857,208,1.076204809,162,1.162194383,19,0,0,0,225,0.937407044,,,,
010109,0.9955,151,0.942915627,55,1.061235988,5,0,0,0,90,1.054925369,,,,
010110,1.0000,23,0,41,0.987684099,2,0,0,0,57,0.951084521,,,,
010112,0.9980,136,1.060217759,91,0.982641036,5,0,16,0,89,0.972150811,,,,
010113,0.9902,621,1.100610084,941,1.094204018,272,1.066649066,613,1.12288581,613,1.108667916,,,,
010114,0.9960,218,1.03059073,227,0.945415749,81,1.054697273,91,1.121707303,193,0.908955737,,,,
010118,0.9904,203,1.024242448,373,1.093207994,173,1.145093143,11,0,205,0.831354777,,,,
010120,1.0000,164,0.987324503,93,0.932553709,17,0,0,0,120,0.969907082,,,,
010125,0.9979,354,1.018077486,119,0.971390416,7,0,0,0,470,0.914735698,,,,
010126,0.9943,93,1.035218224,87,1.068645199,10,0,42,1.013220711,144,1.036077925,,,,
010128,0.9987,63,0.934405782,32,1.033492409,3,0,0,0,61,0.970608098,,,,
010129,0.9989,98,0.957685868,57,1.042391052,8,0,1,0,79,0.996925394,,,,
010130,0.9807,228,1.151807154,108,0.953008598,9,0,0,0,98,0.99852245,,,,
010131,0.9920,360,0.929678289,377,0.978191029,169,1.134519722,841,1.060816183,461,1.01125977,,,,
010137,1.0000,3,0,5,0,1,0,0,0,2,0,,,,
010138,1.0000,18,0,17,0,1,0,0,0,11,0,,,,
010139,0.9965,579,1.017973523,501,1.025427142,317,1.027274488,683,1.034117651,330,1.017361983,,,,
010144,0.9915,229,0.954699609,452,1.080805552,139,1.10301291,224,1.058568186,244,0.995849815,,,,
010146,0.9942,110,1.036601325,48,0.973487732,15,0,0,0,96,1.073237861,,,,
010148,0.9788,79,1.097182615,142,1.192491898,6,0,0,0,353,1.064098165,,,,
010149,0.9961,273,0.913532968,353,1.059638776,57,0.971936616,25,1.081591834,299,1.02532071,,,,
010150,1.0000,88,0.94532447,102,0.921077662,10,0,71,0.93684868,118,0.996189671,,,,
010152,1.0000,45,0.98520618,40,0.953534276,0,0,18,0,35,0.978926215,,,,
010157,0.9962,159,1.025955584,88,1.054900018,2,0,72,0.846074764,118,1.017573654,,,,
010158,0.9855,234,1.080625436,120,1.03766059,28,1.072397166,38,1.140575209,197,1.128377095,,,,
010164,0.9987,306,0.982839608,202,1.035575428,34,0.998567371,16,0,224,0.999380349,,,,
010168,0.9997,42,1.022680692,27,0.96410262,4,0,1427,0.911506637,56,1.01612335,,,,
010169,0.9920,107,0.981970257,208,1.08826536,13,0,0,0,116,0.939976952,,,,
020001,1.0000,317,0.880939991,433,0.891402453,357,0.894039371,387,0.957563752,281,0.966997985,,,,
020006,0.9908,232,0.984790174,167,0.936084352,70,1.040316044,104,1.190727451,162,1.033021412,,,,
020008,0.9873,88,0.974621258,44,0.931992661,15,0,100,1.11357769,51,0.96382588,,,,
020012,0.9993,118,0.860763513,100,0.988629051,83,0.926373922,114,0.900460883,121,1.030272641,,,,
020017,1.0000,65,0.971771502,89,0.954995338,126,0.955426987,518,0.968163958,75,0.998033812,,,,
020018,1.0000,131,0.939647263,33,0.970818895,0,0,0,0,70,0.999869963,,,,
020024,0.9859,115,0.865688533,78,1.070366954,15,0,89,1.20050106,100,0.943133902,,,,
020026,0.9951,197,1.053209372,86,1.097546602,28,1.031802933,84,1.056500168,125,0.967850264,,,,
020027,1.0000,30,0.960410146,20,0,1,0,0,0,13,0,,,,
030001,0.9985,35,0.969274324,36,0.986188647,6,0,0,0,67,1.032078062,,,,
030002,0.9980,180,1.05768836,398,0.83938576,226,1.088498885,338,0.936340177,233,0.937331372,,,,
030006,0.9986,497,1.05337279,544,0.918133914,427,0.960857075,1557,0.810256112,300,1.027803219,,,,
030007,1.0000,220,0.992633981,173,0.928399828,129,0.966841087,270,0.8427102,204,0.862555662,,,,
030010,1.0000,203,0.98839676,219,0.821022997,161,0.982194374,137,0.921671016,190,0.933471948,,,,
030011,0.9982,359,1.08367524,313,0.883347411,169,0.965520394,405,0.981036508,310,0.954862752,,,,
030012,0.9993,408,0.994087568,230,0.973128335,381,0.930365798,527,0.799827268,320,1.032704401,,,,
030013,0.9935,1007,1.076011493,631,0.883404602,483,1.013930693,633,0.951357595,835,1.058993173,,,,
030014,0.9954,182,1.052105926,302,0.92831917,96,0.998226511,285,1.122313538,257,1.016007086,,,,
030016,0.9837,310,1.10204857,148,1.132134663,65,1.021946519,238,1.092596417,368,1.117153973,,,,
030022,1.0000,23,0,24,0,11,0,0,0,16,0,,,,
030023,1.0000,239,0.912254386,245,0.942126972,198,0.929130121,624,0.936974899,154,0.970710336,,,,
030024,0.9997,154,1.007466474,200,0.955476605,166,0.987050623,20,0,171,1.029950173,,,,
030030,0.9988,106,1.030781657,238,0.993557244,187,0.949159011,93,1.068617515,116,0.942185037,,,,
030033,0.9802,91,1.002908199,105,0.942237091,17,0,118,1.396783254,153,0.996434183,,,,
030036,0.9979,402,0.959629573,402,0.931270734,271,1.059743846,164,0.943972416,309,0.922037813,,,,
030037,0.9999,55,0.94992055,80,0.971330813,60,0.998222277,582,0.954920431,69,1.01183099,,,,
030038,1.0000,418,0.967475836,469,0.947326018,188,0.896300447,662,0.996415791,243,0.927350452,,,,
030043,0.9907,264,0.989191673,212,1.11115666,121,0.941245591,88,1.177215607,254,0.966688447,,,,
030055,0.9968,555,1.069240534,368,0.981687809,176,0.892634163,95,0.981851033,591,0.923168071,,,,
030061,0.9980,644,0.927499306,769,0.909211026,469,1.036360993,1141,0.808488443,766,1.041880895,,,,
030062,0.9982,139,0.848613593,103,0.912451747,75,0.936183506,220,1.021901487,106,0.963692567,,,,
030064,0.9957,360,0.965681129,300,1.011230632,239,1.093464063,181,1.144996262,118,1.011351314,,,,
030065,0.9940,361,1.133042077,409,1.065344245,184,0.976007677,262,0.949816481,338,1.148969258,,,,
030068,0.9884,148,1.015734278,48,1.026546123,7,0,78,1.080168288,72,1.065351001,,,,
030069,0.9997,332,0.933246298,377,1.007304612,274,0.920732486,590,0.936880319,324,1.005036605,,,,
030071,0.9986,202,0.96385077,37,1.059321208,3,0,0,0,21,0,,,,
030073,0.9877,154,1.045659577,51,1.089513658,4,0,79,1.088226547,8,0,,,,
030074,1.0000,8,0,0,0,0,0,0,0,0,0,,,,
030077,1.0000,0,0,0,0,0,0,0,0,0,0,,,,
030078,0.9997,37,1.006634199,3,0,0,0,0,0,7,0,,,,
030083,0.9983,134,1.010073253,90,1.045556978,51,0.974524763,38,1.025316579,108,0.954470215,,,,
030084,0.9989,183,0.961402898,39,1.042032432,7,0,0,0,18,0,,,,
030085,0.9991,541,1.008032076,346,0.911102201,177,1.006736652,950,0.93089106,383,1.033319523,,,,
030087,1.0000,607,0.963008643,579,0.987774463,280,0.957774765,1287,0.80166787,313,0.936502557,,,,
030088,0.9960,792,1.035931479,426,1.138487145,33,0.984385674,694,0.999285953,871,1.022196749,,,,
030089,0.9914,420,1.057368778,505,1.057548078,210,1.133483222,143,1.188891116,456,1.032456162,,,,
030092,0.9975,228,0.895119957,238,1.067886272,125,0.974618447,148,0.966887372,214,1.031136595,,,,
030093,0.9928,595,0.965507707,590,0.984447618,372,0.924954271,777,1.111406403,533,1.013538507,,,,
030094,0.9988,233,1.050488841,158,0.963726269,89,0.928552614,416,0.975065026,176,0.985705456,,,,
030100,0.9983,59,0.951674122,146,0.981909586,162,1.011962982,0,0,56,1.03254987,,,,
030101,0.9908,225,1.065860915,365,1.050207643,173,0.979524318,336,1.069174549,498,1.050081807,,,,
030103,0.9996,423,1.038561762,504,0.906793088,228,0.914277912,1056,0.839734083,189,0.914847795,,,,
030105,0.9998,33,1.056452097,893,0.905865127,524,0.948148901,0,0,34,0.938687035,,,,
030107,0.9700,0,0,0,0,0,0,718,1.117339611,0,0,,,,
030108,0.9946,0,0,0,0,0,0,43,1.147591236,0,0,,,,
030110,0.9949,212,0.996774416,151,0.969123578,142,1.072380845,23,0,194,1.063922518,,,,
030111,0.9999,63,1.006029637,73,0.976380233,84,0.968372583,3,0,55,0.95354376,,,,
030112,0.9700,0,0,0,0,0,0,443,1.284803085,0,0,,,,
030113,1.0000,80,0.906407146,16,0,1,0,0,0,8,0,,,,
030114,0.9966,222,1.057202684,181,1.018492356,117,0.967529855,722,0.818562434,179,1.065170821,,,,
030115,0.9907,253,1.04610008,220,1.034819031,122,1.06601556,111,1.317740491,183,0.995482174,,,,
030117,0.9747,109,1.080474557,140,1.009586453,58,0.972743305,117,1.448578574,231,1.00669974,,,,
030118,0.9969,208,1.053293717,91,1.020438394,20,0,270,0.865208717,193,0.966793857,,,,
030119,0.9972,326,0.929435206,270,0.940733363,101,0.94887622,281,1.074174701,311,0.965584679,,,,
030120,0.9985,104,0.966682383,41,1.042650369,1,0,0,0,52,0.998180269,,,,
030121,0.9870,309,1.042897276,245,1.035809476,181,0.941463477,282,1.238452632,250,1.034834367,,,,
030122,0.9989,162,0.979290655,167,0.989128278,22,0,152,1.008333634,194,1.039347568,,,,
